marca,modelo,precio,kilometraje,year,combustible,ciudad,cat_combustible,antiguedad_auto,uso_anual_estimado,es_ecologico,categoria_precio,rango_kilometraje,tipo_marca,segmento_depreciacion
ford,Transit Mt,22490000.0,5800.0,2022,diesel,santiago,1,4,1450.0,0,alto,bajo,general,depreciacion media
foton,Wonder Wonder 1.6cc,8913100.0,1234.0,2026,bencina,araucania,0,0,1234.0,0,bajo,bajo,general,baja depreciacion
gac,Emkoo 1.5t Gl 4x2 At 5p,17490000.0,14012.0,2025,bencina,antofagasta,0,1,14012.0,0,medio,bajo,general,baja depreciacion
geely,Coolray 1.5 Sport 4x2 At 5p,14790000.0,52010.0,2024,bencina,antofagasta,0,2,26005.0,0,medio,medio,general,depreciacion media
geely,Coolray 1.5td Dct Sport,15500000.0,4800.0,2025,bencina,santiago,0,1,4800.0,0,medio,bajo,general,baja depreciacion
great,Wall Haval 1.5 Luxury 4x2 Mt 5p,9490000.0,75065.0,2020,bencina,biobio,0,6,12510.833333333334,0,bajo,medio,general,depreciacion media
great,Wall Poer Poer Deluxe 4x4 2.0,21790000.0,43454.0,2022,diesel,santiago,1,4,10863.5,0,alto,medio,general,depreciacion media
great,Wall Poer 2.0 Td Deluxe,15990000.0,70039.0,2023,diesel,santiago,1,3,23346.333333333332,0,medio,medio,general,depreciacion media
great,Wall Poer Elite 2.0 4x2 At,21950000.0,40336.0,2025,diesel,santiago,1,1,40336.0,0,alto,medio,general,baja depreciacion
great,Wall Wingle 2.2 Elite Dob. Cab. 4x2 M,8980000.0,50344.0,2022,bencina,antofagasta,0,4,12586.0,0,bajo,medio,general,depreciacion media
haval,H3 2.0,7500000.0,154000.0,2017,bencina,araucania,0,9,17111.11111111111,0,bajo,alto,general,alta depreciacion
