marca,modelo,year,precio,kilometraje,combustible,ciudad,url,precio_num,km_num,year_limpio
chevrolet,Onix 1.0t Lt R 4x2 Hb Mt 5p,2024,11580000.0,28646.0,bencina,biobio,https://automoviles.emol.com/venta/autos/chevrolet-onix-2024-biobio-cod77334456.html,11587.0,286460.0,2024
chevrolet,Onix 1.0t Rs R 4x2 Hb Mt 5p,2024,11790000.0,40644.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chevrolet-onix-2024-metropolitana-de-santiago-cod77042640.html,11797.0,406440.0,2024
chevrolet,Onix 1.0 Rs R Mt,2024,12090000.0,36920.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chevrolet-onix-2024-metropolitana-de-santiago-cod77074674.html,12097.0,369200.0,2024
chevrolet,Onix 1.0t Rs R 4x2 Hb Mt 5p,2024,11890000.0,44497.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chevrolet-onix-2024-metropolitana-de-santiago-cod77087956.html,11897.0,444970.0,2024
chevrolet,Onix 1.0t Ltz P2 4x2 Hb Mt 5p,2024,10990000.0,18009.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chevrolet-onix-2024-metropolitana-de-santiago-cod77344305.html,10997.0,180090.0,2024
chevrolet,Prisma Ltz,2020,9290000.0,78600.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chevrolet-prisma-2020-metropolitana-de-santiago-cod75878537.html,92900000.0,786000.0,2020
chevrolet,Sail 1.4 Lt 4x2 Mt 4p,2014,3290000.0,62245.0,bencina,tarapaca,https://automoviles.emol.com/venta/autos/chevrolet-sail-2014-tarapaca-cod76826065.html,32900000.0,622450.0,2014
chevrolet,Sail 1.5 4x2 Mt 4p,2022,7490000.0,85010.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chevrolet-sail-2022-metropolitana-de-santiago-cod77336290.html,74900000.0,850100.0,2022
chevrolet,Sail 1.5 4x2 Mt 4p,2023,6990000.0,112401.0,bencina,araucania,https://automoviles.emol.com/venta/autos/chevrolet-sail-2023-araucania-cod77308345.html,69900000.0,1124010.0,2023
chevrolet,Sail 1.5 Ls Smart 4x2 Mt 4p,2023,8090000.0,31825.0,bencina,biobio,https://automoviles.emol.com/venta/autos/chevrolet-sail-2023-biobio-cod77345357.html,80900000.0,318250.0,2023
chevrolet,Silverado 5.3 Lt 4wd Ext Z71 Dob. C,2019,25490000.0,96367.0,bencina,coquimbo,https://automoviles.emol.com/venta/autos/chevrolet-silverado-2019-coquimbo-cod77329749.html,25497.0,963670.0,2019
chevrolet,Silverado Cc Dcab 4x4 5.3,2020,37990000.0,146653.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chevrolet-silverado-2020-metropolitana-de-santiago-cod77002275.html,37997.0,1466530.0,2020
chevrolet,Silverado 5.3 Lt Trailboss Z71 4x4,2021,31390000.0,84674.0,bencina,biobio,https://automoviles.emol.com/venta/autos/chevrolet-silverado-2021-biobio-cod77135052.html,31397.0,846740.0,2021
chevrolet,Silverado 5.3 Lt Trailboss Z71 4x4,2021,28990000.0,142889.0,bencina,biobio,https://automoviles.emol.com/venta/autos/chevrolet-silverado-2021-biobio-cod77340647.html,28997.0,1428890.0,2021
chevrolet,Silverado 5.3 Lt Trailboss Z71 4x4,2021,31980000.0,83983.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chevrolet-silverado-2021-metropolitana-de-santiago-cod77353170.html,31987.0,839830.0,2021
chevrolet,Silverado 5.3 Lt Trailboss Z71 4x4,2022,35480000.0,49663.0,bencina,tarapaca,https://automoviles.emol.com/venta/autos/chevrolet-silverado-2022-tarapaca-cod77332569.html,35487.0,496630.0,2022
chevrolet,Silverado 6.2 Zr2 4x4 At 4p,2023,40980000.0,29509.0,bencina,tarapaca,https://automoviles.emol.com/venta/autos/chevrolet-silverado-2023-tarapaca-cod77329718.html,40987.0,295090.0,2023
chevrolet,Silverado 6.2 Zr2 Auto Dc 4wd,2024,42800000.0,31976.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chevrolet-silverado-2024-metropolitana-de-santiago-cod77259551.html,4287.0,319760.0,2024
chevrolet,Silverado 6.2 Zr2 R 4x4 At 4p,2025,48990000.0,3559.0,bencina,coquimbo,https://automoviles.emol.com/venta/autos/chevrolet-silverado-2025-coquimbo-cod77337267.html,48997.0,35590.0,2025
chevrolet,Spark Lt,2021,8600000.0,36000.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chevrolet-spark-2021-metropolitana-de-santiago-cod75673038.html,86000000.0,360000.0,2021
chevrolet,Spin Mt,2019,10795000.0,60000.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chevrolet-spin-2019-metropolitana-de-santiago-cod75668750.html,107957.0,600000.0,2019
chevrolet,Spin 1.8 Ltz 4x2 At 5p,2019,8300000.0,71606.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chevrolet-spin-2019-metropolitana-de-santiago-cod77329864.html,83000000.0,716060.0,2019
chevrolet,Suburban 5.3l Z71 Awd At 5p,2022,49990000.0,83842.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chevrolet-suburban-2022-metropolitana-de-santiago-cod77335985.html,49997.0,838420.0,2022
chevrolet,Tahoe 5.7,1997,11980000.0,279631.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chevrolet-tahoe-1997-metropolitana-de-santiago-cod76082764.html,11987.0,2796310.0,1997
